year,state,candidatevotes_DEMOCRAT,candidatevotes_REPUBLICAN,percentage_DEMOCRAT,percentage_REPUBLICAN,totalvotes,winner
2016,MASSACHUSETTS,1995196,1090893,60.93,33.31,3274555,DEMOCRAT
2016,MICHIGAN,2268839,2279543,47.27,47.5,4799284,REPUBLICAN
2016,MINNESOTA,1367716,1322951,46.44,44.92,2944813,DEMOCRAT
2016,MISSISSIPPI,485131,700714,40.11,57.94,1209357,REPUBLICAN
2016,MISSOURI,1071068,1594511,38.15,56.8,2807381,REPUBLICAN
2016,MONTANA,177709,279240,35.75,56.17,497147,REPUBLICAN
2016,NEBRASKA,284494,495961,33.7,58.75,844227,REPUBLICAN
2016,NEVADA,539260,512058,47.92,45.5,1125385,DEMOCRAT
2016,NEW HAMPSHIRE,348526,345790,46.83,46.46,744296,DEMOCRAT
2016,NEW JERSEY,2148278,1601933,55.45,41.35,3874046,DEMOCRAT
2016,NEW MEXICO,385234,319667,48.26,40.04,798319,DEMOCRAT
2016,NEW YORK,4547562,2814589,59.0,36.52,7707363,DEMOCRAT
2016,NORTH CAROLINA,2189316,2362631,46.17,49.83,4741564,REPUBLICAN
2016,NORTH DAKOTA,93758,216794,27.23,62.96,344360,REPUBLICAN
2016,OHIO,2394164,2841005,43.56,51.69,5496487,REPUBLICAN
2016,OKLAHOMA,420375,949136,28.93,65.32,1452992,REPUBLICAN
2016,OREGON,1002106,782403,50.07,39.09,2001336,DEMOCRAT
2016,PENNSYLVANIA,2926441,2970733,47.85,48.58,6115402,REPUBLICAN
2016,RHODE ISLAND,252525,180543,54.41,38.9,464144,DEMOCRAT
2016,SOUTH CAROLINA,855373,1155389,40.67,54.94,2103027,REPUBLICAN
2016,SOUTH DAKOTA,117458,227721,31.74,61.53,370093,REPUBLICAN
2016,TENNESSEE,870695,1522925,34.72,60.72,2508027,REPUBLICAN
2016,TEXAS,3877868,4685047,43.24,52.23,8969226,REPUBLICAN
2016,UTAH,310676,515231,27.46,45.54,1131430,REPUBLICAN
2016,VERMONT,178573,95369,56.68,30.27,315077,DEMOCRAT
2016,VIRGINIA,1981473,1769443,49.73,44.41,3984631,DEMOCRAT
2016,WASHINGTON,1742718,1221747,54.3,38.07,3209214,DEMOCRAT
2016,WEST VIRGINIA,188794,489371,26.48,68.63,713051,REPUBLICAN
2016,WISCONSIN,1381823,1404440,46.44,47.2,2975753,REPUBLICAN
2016,WYOMING,55973,174419,21.88,68.17,255849,REPUBLICAN
2020,ALABAMA,849624,1441170,36.57,62.03,2323282,REPUBLICAN
2020,ALASKA,153778,189951,43.01,53.12,357569,REPUBLICAN
2020,ARIZONA,1672143,1661686,16.46,16.36,10155882,DEMOCRAT
2020,ARKANSAS,423932,760647,8.69,15.6,4876276,REPUBLICAN
2020,CALIFORNIA,11110250,6006429,63.48,34.32,17500881,DEMOCRAT
2020,COLORADO,1804352,1364607,55.4,41.9,3256980,DEMOCRAT
2020,CONNECTICUT,1080831,714717,59.26,39.19,1823857,DEMOCRAT
2020,DELAWARE,296268,200603,58.78,39.8,504010,DEMOCRAT
2020,DISTRICT OF COLUMBIA,317323,18586,92.15,5.4,344356,DEMOCRAT
2020,FLORIDA,5297045,5668731,47.86,51.22,11067456,REPUBLICAN
2020,GEORGIA,2474507,2461837,12.38,12.31,19993928,DEMOCRAT
2020,HAWAII,366127,196855,63.73,34.27,574457,DEMOCRAT
2020,IDAHO,287021,554119,33.09,63.89,867361,REPUBLICAN
2020,ILLINOIS,3471915,2446891,57.54,40.55,6033744,DEMOCRAT
2020,INDIANA,1242416,1729519,40.96,57.02,3033121,REPUBLICAN
2020,IOWA,759061,902009,22.45,26.67,3381742,REPUBLICAN
2020,KANSAS,570323,771406,41.56,56.21,1372303,REPUBLICAN
2020,KENTUCKY,772285,1326418,36.17,62.13,2134996,REPUBLICAN
2020,LOUISIANA,856034,1255776,39.85,58.46,2148062,REPUBLICAN
2020,MAINE,430473,359899,52.33,43.75,822534,DEMOCRAT
2020,MARYLAND,1985023,976414,13.07,6.43,15185155,DEMOCRAT
2020,MASSACHUSETTS,2382202,1167202,65.12,31.91,3658005,DEMOCRAT
2020,MICHIGAN,2804040,2649852,50.62,47.84,5539302,DEMOCRAT
2020,MINNESOTA,1717077,1484065,52.4,45.28,3277171,DEMOCRAT
2020,MISSISSIPPI,539398,756764,41.06,57.6,1313759,REPUBLICAN
2020,MISSOURI,1253014,1718736,41.41,56.8,3025962,REPUBLICAN
2020,MONTANA,244786,343602,40.55,56.92,603640,REPUBLICAN
2020,NEBRASKA,374583,556846,39.36,58.51,951712,REPUBLICAN
2020,NEVADA,703314,669608,50.06,47.66,1404911,DEMOCRAT
2020,NEW HAMPSHIRE,424937,365660,52.86,45.49,803833,DEMOCRAT
2020,NEW JERSEY,2608335,1883274,57.33,41.4,4549353,DEMOCRAT
2020,NEW MEXICO,501614,401894,54.29,43.5,923965,DEMOCRAT
2020,NEW YORK,5230985,3244798,60.39,37.46,8661735,DEMOCRAT
2020,NORTH CAROLINA,2684292,2758773,12.15,12.48,22099208,REPUBLICAN
2020,NORTH DAKOTA,114902,235595,31.76,65.11,361819,REPUBLICAN
2020,OHIO,2679165,3154834,45.24,53.27,5922202,REPUBLICAN
2020,OKLAHOMA,503890,1020280,10.76,21.79,4682097,REPUBLICAN
2020,OREGON,1340383,958448,56.45,40.37,2374321,DEMOCRAT
2020,PENNSYLVANIA,3458229,3377674,50.01,48.84,6915283,DEMOCRAT
2020,RHODE ISLAND,307486,199922,59.39,38.61,517757,DEMOCRAT
2020,SOUTH CAROLINA,1091541,1385103,7.24,9.19,15079974,REPUBLICAN
2020,SOUTH DAKOTA,150471,261043,35.61,61.77,422609,REPUBLICAN
2020,TENNESSEE,1143711,1852475,37.45,60.66,3053851,REPUBLICAN
2020,TEXAS,5259126,5890347,46.48,52.06,11315056,REPUBLICAN
2020,UTAH,560282,865139,10.31,15.92,5434835,REPUBLICAN
2020,VERMONT,242826,112708,65.48,30.39,370826,DEMOCRAT
2020,VIRGINIA,2413568,1962430,18.03,14.66,13386199,DEMOCRAT
2020,WASHINGTON,2369612,1584651,57.97,38.77,4087631,DEMOCRAT
2020,WEST VIRGINIA,235984,545382,29.7,68.63,794652,REPUBLICAN
2020,WISCONSIN,1630673,1610065,49.45,48.83,3297352,DEMOCRAT
2020,WYOMING,73491,193559,26.39,69.5,278503,REPUBLICAN
